Domont,DMO
Dompierre Sept Fons,DOP
Dompierre-sur-Helpe,DMR
Don - Sainghin,DON
Donchery,DEY
Donges,DGS
Donjeux,DNJ
Donzère,DOE
Dordives,DDI
Dorlisheim,DHM
Dormans,DOR
Douai,DOI
Dourdan,DHY
Dourdan La Forêt,DAQ
Dourges,DOU
Douzillac,DUZ
Drancy,DRN
Drap - Cantaron,DRA
Drefféac,DRF
Dreuil-lès-Amiens,DAS
Dreux,DRX
Drusenheim,DRS
Druye,DRY
Dunkerque,DKQ
Duppigheim,DUP
Durtol - Nohanent,DUR
Duttlenheim,DTM
Dégagnac,DEG
Ebblinghem,EBB
Ebersheim,EBH
Ecully - Tassin,ECY
Eichhoffen,ECF
Einvaux,EIN
Elbeuf - Saint-Aubin,ESA
Elne,ELN
Embrun,EMB
Enghien-les-Bains,ENK
Ennevelin,ENN
Entraigues-sur-la-Sorgue,ENR
Entzheim Aéroport,ENZ
Epfig,EFG
Erdre-Active,ERV
Ermont - Eaubonne,ERT_PSL
Ermont - Eaubonne,ERT
Ermont Halte,ERM
Err,ERR
Erstein,EEN
Esbly,EYA
Escalquens,EQA
Escaudœuvres,EDV
Esches,ESC
Esquelbecq,ESQ
Essonnes Robinson,ESO
Estavar,EAA
Estressin,ESN
Estrées-Saint-Denis,ESD
Esvres sur Indre,ESV
Eu,EUW
Exideuil,EXC
Eymoutiers Vassivière,EYM
Farbus,FAU
Faremoutiers - Pommeuse,FMP
Farschviller,FWR
Farébersviller,FBR
Faubourg d'Orléans,FBL
Faulquemont,FAQ
Fegersheim - Lipsheim,FHM
Fellering,FRG
Felletin,FEL
Fenouillet - Saint-Alban,FEX
Ferrières - Fontenay,FFY
Feuquières - Broquiers,FBS
Feurs,FEU
Feyzin,FEY
Figeac,FIG
Firminy,FNY
Fismes,FIO
Flavy-le-Martel,FAM
Flaxlanden,FXL
Flers,FLS
Fleurieux-sur-l'Arbresle,FSL
Fleurville - Pont-de-Vaux,FLV
Flez-Cuzy - Tannay,FEZ
Foix,FXE
Folligny,FOL
Fons - Saint-Mamert,FMS
Font-Romeu-Odeillo-Via,FRM
Fontaine-le-Port,FPO
Fontainebleau - Avon,FON
Fontaines - Mercurey,FAE
Fontan - Saorge,FTO
Fontenay-le-Fleury,FAF
Fontenoy-sur-Moselle,FBE
Fontpédrouse,FTB
Forbach,FOB
Formerie,FMR
Fors,FOW
Fos-sur-Mer,FOS
Foucart - Alvimare,FTA
Fouday,FDY
Foug,FUG
Fougeray - Langon,FGL
Fougeré,FUE
Fouilloy,FIY
Fouquereuil,FQE
Fourchambault,FLT
Fourmies,FMI
Foëcy,FCY
Fraisses - Unieux,FRU
Franchet d'Esperey,FRP
Francheville,FRW
Franconville - Le Plessis-Bouchard,FPB
Franois,FOI
Frasne,FRA
Freinville Sevran,FSV
Fresnoy-le-Grand,FEG
Fretin,FRI
Fromental,FRO
Froncles,FEB
Frontenex,TFF
Frontignan,FRN
Frouard,FRD
Frynaudour,FYD
Fréjus,FRJ
Frénouville - Cagny,FVL
Frépillon,FPN
Fréteval - Morée,FRE
Frévin-Capelle,FVK
Fumay,FUY
Futuroscope,FTU
Fécamp,FEC
Fépin,FEP
Gadagne,GDA
Gagny,GNQ
Gaillac,GAI
Gaillon - Aubevoye,GAA
Gallargues-le-Montueux,GGE
Gallieni Cancéropôle,OGI
Galuzot,GLZ
Gambsheim,GHM
Gan,GNJ
Gandrange - Amnéville,GDG
Gannat,GAN
Gannes,GNS
Gap,GAP
Garancières - La Queue,GAQ
Garches - Marnes-la-Coquette,GMC
Garchizy,GZY
Gardanne,GDN
Gardonne,GAO
Gargan,GAF
Gargenville,GGV
Garges - Sarcelles,GAJ
Gauriaguet,GGT
Gazeran,GZA
Gazinet Cestas,GAZ
Geispolsheim,GPM
Gemeaux,GMX
Genlis,GLS
Gennevilliers,GEN
Germaine,GEA
Gertwiller,GWL
Gerzat,GEZ
Gestel,GES
Gevrey-Chambertin,GCT
Gien,GIE
Gignac - Cressensac,GCC
Gilley,GIL
